Año;Clave_Ent;Entidad;Cve. Municipio;Municipio;Bien jurídico afectado;Tipo de delito;Subtipo de delito;Modalidad;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio doloso;Con arma de fuego;1;2;2;1;1;1;1;4;1;1;0;2
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio doloso;Con arma blanca;2;1;0;1;0;2;0;3;1;0;3;0
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio doloso;Con otro elemento;1;0;1;0;0;3;0;0;1;1;2;1
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio doloso;No especificado;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio culposo;Con arma de fuego;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio culposo;Con arma blanca;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio culposo;En accidente de tránsito;6;7;7;4;5;6;5;6;6;5;6;9
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio culposo;Con otro elemento;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Homicidio;Homicidio culposo;No especificado;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones dolosas;Con arma de fuego;4;4;4;2;1;0;1;3;3;6;0;3
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones dolosas;Con arma blanca;12;9;8;10;5;13;11;12;8;11;8;6
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones dolosas;Con otro elemento;119;136;162;128;168;192;123;131;132;128;112;113
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones dolosas;No especificado;51;60;62;53;52;51;50;51;62;62;39;52
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones culposas;Con arma de fuego;0;1;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones culposas;Con arma blanca;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones culposas;En accidente de tránsito;43;52;65;62;69;52;41;50;69;52;46;49
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones culposas;Con otro elemento;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Lesiones;Lesiones culposas;No especificado;9;12;3;9;7;6;5;11;10;7;12;9
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Feminicidio;Feminicidio;Con arma de fuego;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Feminicidio;Feminicidio;Con arma blanca;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Feminicidio;Feminicidio;Con otro elemento;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Feminicidio;Feminicidio;No especificado;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Aborto;Aborto;Aborto;2;1;0;3;0;1;1;1;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;La vida y la Integridad corporal;Otros delitos que atentan contra la vida y la integridad corporal;Otros delitos que atentan contra la vida y la integridad corporal;Otros delitos que atentan contra la vida y la integridad corporal;5;4;4;7;8;3;0;3;1;0;0;4
2023;1;Aguascalientes;1001;Aguascalientes;Libertad personal;Secuestro;Secuestro;Secuestro extorsivo;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;Libertad personal;Secuestro;Secuestro;Secuestro con calidad de rehén;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;Libertad personal;Secuestro;Secuestro;Secuestro para causar daño;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;Libertad personal;Secuestro;Secuestro;Secuestro exprés;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;Libertad personal;Secuestro;Secuestro;Otro tipo de secuestros;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;Libertad personal;Tráfico de menores;Tráfico de menores;Tráfico de menores;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;Libertad personal;Rapto;Rapto;Rapto;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;Libertad personal;Otros delitos que atentan contra la libertad personal;Otros delitos que atentan contra la libertad personal;Otros delitos que atentan contra la libertad personal;26;15;26;23;21;15;16;23;17;27;25;21
2023;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Abuso sexual;Abuso sexual;Abuso sexual;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Acoso sexual;Acoso sexual;Acoso sexual;0;0;0;0;0;0;0;0;0;0;0;0
2023;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Hostigamiento sexual;Hostigamiento sexual;Hostigamiento sexual;5;15;28;15;22;18;19;10;8;12;11;13
2023;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Violación simple;Violación simple;Violación simple;13;14;21;13;20;19;26;17;13;18;15;14
2023;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Violación equiparada;Violación equiparada;Violación equiparada;5;10;10;11;5;8;12;9;9;9;9;6
2023;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Incesto;Incesto;Incesto;0;0;0;0;0;0;1;0;0;0;0;3
